number_of_bedrooms,square_footage,locations,age,price
3.0,977.0,street no 06,18.0,146268.0
2.0,1768.0,street no 07,1.0,185430.0
4.0,2093.0,street no 03,9.0,258071.0
1.0,1859.0,street no 07,24.0,173377.0
2.0,1998.0,downtown,19.0,206937.0
2.0,1122.0,downtown,18.0,116494.0
4.0,789.0,street no 07,22.0,145226.0
1.0,2251.0,defence phase 5,23.0,210395.0
5.0,1339.0,gulberg,10.0,233689.0
6.0,1375.0,downtown,33.0,211060.0
6.0,2164.0,street no 02,27.0,310430.0
5.0,1778.0,street no 07,4.0,231679.0
2.0,1728.0,north nazimabad,4.0,198255.0
1.0,2583.0,street no 01,20.0,243658.0
2.0,1178.0,street no 05,11.0,148705.0
3.0,1964.0,street no 09,3.0,249264.0
2.0,1529.0,street no 07,19.0,151416.0
2.0,1634.0,street no 07,,165898.0
5.0,2264.0,,24.0,258488.0
5.0,1754.0,gulberg,13.0,258223.0
5.0,1769.0,suburb area,10.0,266333.0
6.0,2036.0,street no 02,31.0,291104.0
3.0,1318.0,,10.0,207275.0
5.0,1080.0,street no 03,17.0,186248.0
1.0,978.0,north nazimabad,26.0,88734.0
6.0,517.0,street no 08,17.0,157041.0
4.0,2528.0,street no 03,22.0,304073.0
1.0,948.0,street no 10,10.0,122975.0
1.0,1389.0,street no 07,20.0,134501.0
5.0,1362.0,street no 02,4.0,234071.0
4.0,1654.0,street no 04,22.0,213175.0
4.0,1908.0,downtown,24.0,223275.0
6.0,1930.0,street no 06,9.0,260120.0
4.0,1208.0,downtown,21.0,160061.0
3.0,1416.0,street no 09,18.0,190188.0
,1641.0,street no 05,0.0,233287.0
4.0,1376.0,gulberg,6.0,207706.0
6.0,2304.0,street no 09,3.0,318848.0
3.0,1745.0,north nazimabad,0.0,218472.0
2.0,1867.0,street no 05,14.0,182192.0
2.0,1831.0,street no 10,39.0,202529.0
3.0,2087.0,street no 08,11.0,253668.0
6.0,1591.0,gulberg,21.0,260672.0
3.0,852.0,gulberg,21.0,141224.0
5.0,1700.0,street no 01,16.0,246013.0
5.0,1174.0,street no 07,28.0,159380.0
2.0,1236.0,street no 04,13.0,159372.0
4.0,1793.0,street no 05,19.0,218655.0
6.0,2119.0,street no 06,32.0,259269.0
2.0,1511.0,street no 05,14.0,158374.0
4.0,1654.0,suburb area,11.0,242394.0
4.0,2351.0,street no 01,39.0,259184.0
5.0,1620.0,suburb area,19.0,248944.0
1.0,2801.0,street no 09,29.0,270494.0
1.0,1783.0,street no 02,37.0,189013.0
3.0,620.0,street no 09,,135201.0
5.0,1877.0,street no 10,27.0,250930.0
4.0,1691.0,street no 02,25.0,229014.0
6.0,2145.0,street no 09,29.0,283867.0
1.0,1837.0,street no 06,12.0,173210.0
4.0,1431.0,downtown,12.0,180713.0
1.0,888.0,,1.0,133907.0
1.0,,gulberg,36.0,154865.0
1.0,,street no 06,37.0,98437.0
6.0,1210.0,street no 06,1.0,207764.0
5.0,1794.0,gulberg,35.0,250152.0
6.0,2335.0,downtown,25.0,270628.0
,1697.0,defence phase 5,10.0,181866.0
4.0,902.0,street no 02,7.0,178979.0
5.0,1722.0,street no 08,39.0,241530.0
5.0,2098.0,street no 03,21.0,282424.0
5.0,1195.0,street no 07,19.0,179517.0
5.0,1433.0,street no 05,7.0,217204.0
6.0,1507.0,street no 03,28.0,240746.0
5.0,1108.0,street no 01,39.0,188330.0
3.0,1824.0,street no 08,25.0,224381.0
4.0,1440.0,street no 03,29.0,198823.0
5.0,1710.0,street no 02,16.0,261207.0
4.0,1056.0,street no 01,19.0,175874.0
3.0,1281.0,street no 04,15.0,167896.0
3.0,1861.0,gulberg,6.0,237602.0
4.0,1314.0,street no 08,15.0,202381.0
1.0,2363.0,gulberg,26.0,240481.0
2.0,1300.0,street no 03,22.0,167360.0
1.0,1612.0,defence phase 5,23.0,166717.0
1.0,,street no 01,8.0,197394.0
6.0,791.0,street no 04,34.0,186225.0
1.0,620.0,street no 09,19.0,91624.0
5.0,737.0,gulberg,36.0,171670.0
6.0,2131.0,street no 01,16.0,284291.0
6.0,1224.0,suburb area,30.0,240555.0
3.0,2779.0,defence phase 5,7.0,275497.0
1.0,1218.0,,14.0,111953.0
3.0,1592.0,street no 02,30.0,225042.0
4.0,2271.0,street no 09,29.0,260358.0
2.0,2503.0,street no 02,19.0,268410.0
6.0,2531.0,gulberg,38.0,314772.0
4.0,2104.0,street no 03,11.0,276287.0
4.0,,street no 07,16.0,220256.0
5.0,1796.0,street no 03,29.0,248639.0
2.0,1889.0,street no 09,28.0,204040.0
4.0,1224.0,street no 06,18.0,178452.0
4.0,1091.0,street no 03,10.0,182050.0
2.0,1498.0,street no 09,33.0,175707.0
2.0,1415.0,street no 01,6.0,160812.0
4.0,1273.0,street no 10,33.0,206854.0
2.0,1848.0,street no 03,19.0,210703.0
,,street no 01,37.0,229792.0
4.0,1544.0,street no 02,23.0,238287.0
,2239.0,suburb area,9.0,298723.0
1.0,,street no 08,31.0,136806.0
4.0,1403.0,street no 07,,179272.0
3.0,1142.0,street no 02,36.0,176762.0
6.0,567.0,street no 02,19.0,174307.0
1.0,1459.0,street no 09,2.0,158916.0
1.0,1439.0,gulberg,36.0,163734.0
1.0,2257.0,gulberg,39.0,229477.0
5.0,1815.0,street no 06,7.0,227413.0
4.0,988.0,street no 05,39.0,138324.0
5.0,2427.0,street no 10,22.0,311089.0
4.0,2111.0,street no 06,39.0,235421.0
5.0,1791.0,,10.0,249163.0
5.0,1387.0,downtown,7.0,193503.0
6.0,1020.0,,28.0,190509.0
3.0,1314.0,north nazimabad,29.0,146318.0
5.0,2044.0,street no 10,9.0,276869.0
6.0,2442.0,street no 10,38.0,297965.0
2.0,2272.0,defence phase 5,27.0,232272.0
3.0,1256.0,street no 09,35.0,166968.0
5.0,940.0,street no 04,12.0,184572.0
1.0,1570.0,street no 02,31.0,200280.0
2.0,,suburb area,35.0,110829.0
2.0,1662.0,street no 08,36.0,208596.0
6.0,1426.0,street no 04,25.0,227400.0
2.0,1267.0,gulberg,21.0,167290.0
3.0,703.0,street no 09,3.0,159890.0
5.0,1757.0,north nazimabad,30.0,221544.0
5.0,1234.0,north nazimabad,17.0,176498.0
1.0,915.0,street no 04,37.0,110902.0
6.0,300.0,north nazimabad,23.0,123391.0
1.0,1486.0,street no 08,22.0,175464.0
2.0,2386.0,street no 09,21.0,248356.0
1.0,2331.0,gulberg,1.0,267002.0
3.0,1271.0,street no 09,30.0,175178.0
5.0,1199.0,street no 10,10.0,200643.0
2.0,1734.0,street no 04,27.0,195163.0
1.0,1001.0,street no 01,31.0,103165.0
6.0,1651.0,north nazimabad,4.0,240371.0
3.0,1883.0,street no 03,37.0,214136.0
3.0,2113.0,street no 09,9.0,265442.0
1.0,1450.0,street no 04,39.0,144915.0
5.0,1398.0,street no 05,23.0,202081.0
1.0,1061.0,street no 07,34.0,97616.0
2.0,1087.0,street no 05,22.0,117933.0
1.0,1387.0,street no 04,16.0,158488.0
3.0,1684.0,north nazimabad,0.0,205199.0
1.0,1957.0,street no 02,30.0,214058.0
5.0,1098.0,north nazimabad,30.0,149135.0
6.0,2246.0,,33.0,296330.0
4.0,1364.0,gulberg,8.0,221078.0
1.0,1489.0,gulberg,21.0,164529.0
5.0,1126.0,street no 04,12.0,199650.0
5.0,300.0,street no 10,24.0,120259.0
6.0,1942.0,gulberg,17.0,291011.0
,1868.0,street no 10,11.0,239713.0
5.0,1359.0,,39.0,218373.0
5.0,1533.0,north nazimabad,16.0,220173.0
5.0,1758.0,street no 09,14.0,260196.0
5.0,719.0,street no 08,14.0,165774.0
2.0,1235.0,street no 03,14.0,159770.0
2.0,1897.0,north nazimabad,38.0,192213.0
3.0,873.0,defence phase 5,12.0,141375.0
1.0,1647.0,street no 09,16.0,172410.0
5.0,822.0,defence phase 5,31.0,142802.0
6.0,1733.0,street no 05,8.0,240663.0
1.0,1482.0,downtown,39.0,117043.0
6.0,692.0,street no 03,19.0,169968.0
1.0,2082.0,street no 05,25.0,180322.0
3.0,1133.0,gulberg,26.0,168585.0
5.0,1095.0,street no 10,20.0,198090.0
5.0,1600.0,gulberg,,246265.0
4.0,2074.0,street no 04,12.0,254798.0
6.0,992.0,street no 08,15.0,207635.0
1.0,1531.0,gulberg,,182767.0
1.0,1714.0,suburb area,11.0,188448.0
2.0,1847.0,street no 05,37.0,188176.0
4.0,1588.0,street no 10,18.0,231646.0
2.0,1316.0,suburb area,6.0,181072.0
2.0,1086.0,street no 08,34.0,146340.0
2.0,1543.0,street no 09,17.0,193931.0
6.0,964.0,street no 04,15.0,197582.0
6.0,300.0,street no 07,38.0,117029.0
3.0,,street no 02,3.0,233230.0
3.0,1952.0,street no 06,24.0,222850.0
2.0,319.0,street no 08,31.0,93588.0
4.0,995.0,suburb area,39.0,178278.0
1.0,1810.0,street no 07,12.0,175654.0
6.0,2529.0,street no 07,16.0,297202.0
4.0,,street no 08,36.0,208741.0
5.0,1136.0,street no 07,5.0,186857.0
6.0,1409.0,street no 05,18.0,215972.0
6.0,2187.0,street no 07,12.0,266862.0
3.0,1177.0,gulberg,25.0,189943.0
1.0,1100.0,defence phase 5,13.0,127818.0
1.0,1259.0,street no 10,30.0,144344.0
,1023.0,street no 03,3.0,197432.0
5.0,1561.0,street no 05,38.0,203710.0
6.0,2312.0,street no 07,7.0,292924.0
2.0,1662.0,north nazimabad,24.0,156969.0
3.0,1374.0,street no 09,12.0,204863.0
3.0,1354.0,north nazimabad,31.0,153774.0
6.0,718.0,street no 02,37.0,181953.0
4.0,1942.0,street no 04,37.0,236085.0
2.0,1461.0,suburb area,27.0,203151.0
6.0,1410.0,street no 07,29.0,204918.0
2.0,3097.0,street no 01,2.0,319450.0
2.0,1649.0,gulberg,27.0,199972.0
2.0,1124.0,street no 02,2.0,164253.0
6.0,1287.0,street no 09,33.0,216582.0
3.0,2074.0,gulberg,15.0,250770.0
3.0,1557.0,street no 10,21.0,193710.0
2.0,781.0,street no 07,31.0,97165.0
4.0,,suburb area,37.0,252273.0
1.0,1166.0,street no 10,7.0,152554.0
6.0,2437.0,street no 07,7.0,300330.0
1.0,2040.0,street no 06,,191731.0
4.0,1276.0,street no 03,13.0,206006.0
6.0,2141.0,street no 10,31.0,284108.0
2.0,1534.0,street no 03,34.0,155202.0
3.0,1926.0,street no 02,9.0,248638.0
,1742.0,downtown,2.0,164751.0
5.0,,street no 06,11.0,179957.0
5.0,1178.0,street no 04,30.0,209177.0
4.0,2015.0,street no 05,28.0,244663.0
2.0,1333.0,street no 03,4.0,177599.0
1.0,1298.0,street no 06,24.0,121468.0
2.0,1022.0,downtown,30.0,839623.5288073622
1.0,1712.0,suburb area,20.0,192795.0
4.0,2531.0,street no 03,19.0,300394.0
4.0,966.0,defence phase 5,38.0,136487.0
5.0,1512.0,north nazimabad,21.0,209739.0
2.0,2206.0,defence phase 5,3.0,221978.0
6.0,1460.0,street no 08,12.0,259921.0
5.0,1726.0,street no 09,19.0,237905.0
2.0,969.0,street no 04,,145755.0
5.0,1714.0,north nazimabad,16.0,216275.0
6.0,,street no 09,35.0,230274.0
3.0,1993.0,suburb area,32.0,234505.0
3.0,2094.0,street no 07,0.0,231933.0
3.0,2795.0,street no 03,14.0,314065.0
3.0,1790.0,street no 07,12.0,197923.0
1.0,1663.0,,16.0,155300.0
3.0,1597.0,street no 01,23.0,195216.0
6.0,1323.0,street no 03,7.0,229892.0
4.0,1669.0,street no 06,26.0,198526.0
4.0,1352.0,street no 04,22.0,198230.0
1.0,1584.0,street no 07,7.0,166429.0
3.0,2159.0,defence phase 5,7.0,237926.0
,997.0,street no 03,25.0,156723.0
3.0,2070.0,street no 01,12.0,240482.0
5.0,2159.0,street no 09,38.0,268168.0
2.0,1441.0,north nazimabad,36.0,154637.0
5.0,439.0,street no 06,27.0,126488.0
2.0,1196.0,street no 08,24.0,160705.0
,2148.0,street no 03,15.0,227420.0
3.0,1489.0,street no 08,1.0,206724.0
5.0,1000.0,street no 02,17.0,209198.0
5.0,1248.0,suburb area,16.0,220366.0
2.0,1920.0,street no 04,29.0,205333.0
4.0,1773.0,street no 03,38.0,236454.0
2.0,1381.0,street no 10,12.0,176992.0
5.0,1317.0,street no 01,31.0,178101.0
6.0,1304.0,north nazimabad,28.0,190551.0
5.0,1039.0,gulberg,29.0,195267.0
6.0,2308.0,gulberg,17.0,313903.0
1.0,1339.0,street no 07,12.0,145081.0
5.0,2109.0,downtown,20.0,243677.0
1.0,2261.0,street no 10,29.0,222227.0
4.0,1999.0,street no 02,20.0,255873.0
2.0,1284.0,street no 04,16.0,159502.0
6.0,1702.0,street no 09,39.0,230569.0
2.0,1488.0,street no 06,18.0,158194.0
1.0,1048.0,street no 08,14.0,141072.0
6.0,,street no 02,8.0,270898.0
2.0,910.0,street no 07,9.0,132820.0
5.0,2094.0,street no 06,30.0,263428.0
3.0,1268.0,gulberg,22.0,177731.0
1.0,1601.0,defence phase 5,29.0,135722.0
2.0,1642.0,street no 09,32.0,183611.0
1.0,1371.0,street no 07,8.0,141015.0
1.0,1793.0,street no 01,0.0,181538.0
6.0,1263.0,,34.0,191046.0
6.0,1936.0,street no 08,10.0,302187.0
,827.0,downtown,33.0,108423.0
5.0,1563.0,street no 10,15.0,241161.0
1.0,2469.0,north nazimabad,8.0,223351.0
2.0,1000.0,street no 03,31.0,138324.0
4.0,1161.0,defence phase 5,14.0,166683.0
1.0,1757.0,street no 02,11.0,197686.0
1.0,1590.0,suburb area,32.0,189239.0
3.0,1675.0,street no 03,13.0,205669.0
5.0,1745.0,downtown,7.0,229324.0
4.0,1817.0,street no 06,7.0,220259.0
6.0,2055.0,gulberg,26.0,293016.0
6.0,1705.0,defence phase 5,11.0,1534418.5731619021
2.0,1379.0,street no 03,0.0,191537.0
4.0,1836.0,street no 10,39.0,223185.0
6.0,2450.0,street no 05,10.0,311501.0
2.0,1434.0,street no 06,38.0,146729.0
5.0,1013.0,street no 08,30.0,180059.0
2.0,2054.0,street no 07,16.0,209085.0
6.0,1440.0,defence phase 5,32.0,211103.0
3.0,414.0,downtown,31.0,64781.0
3.0,1924.0,street no 08,28.0,237227.0
3.0,1232.0,street no 03,20.0,185893.0
6.0,1455.0,street no 04,20.0,245603.0
3.0,1666.0,street no 06,39.0,176993.0
4.0,,downtown,22.0,193586.0
5.0,1855.0,street no 07,5.0,238628.0
2.0,1282.0,street no 09,21.0,173023.0
2.0,1757.0,gulberg,37.0,193874.0
6.0,1370.0,street no 01,36.0,207864.0
3.0,1869.0,gulberg,7.0,232640.0
3.0,1808.0,north nazimabad,34.0,183320.0
1.0,1032.0,street no 08,10.0,144189.0
5.0,2043.0,street no 08,23.0,289397.0
4.0,1232.0,street no 06,20.0,168212.0
2.0,1904.0,street no 04,1.0,213711.0
1.0,1684.0,street no 03,39.0,175995.0
1.0,2419.0,downtown,18.0,220056.0
6.0,1388.0,street no 03,38.0,225069.0
2.0,1325.0,street no 06,27.0,154968.0
6.0,1490.0,gulberg,16.0,242999.0
4.0,1348.0,street no 08,5.0,212691.0
1.0,1900.0,street no 07,18.0,177691.0
1.0,692.0,downtown,37.0,70827.0
5.0,973.0,street no 01,27.0,169699.0
4.0,966.0,downtown,1.0,142376.0
1.0,1975.0,street no 06,37.0,194444.0
4.0,2355.0,street no 07,36.0,245836.0
2.0,1448.0,suburb area,3.0,199019.0
3.0,1416.0,street no 07,21.0,170037.0
1.0,1535.0,street no 09,25.0,159253.0
5.0,2081.0,downtown,35.0,240259.0
2.0,1036.0,downtown,12.0,117286.0
4.0,1619.0,street no 10,31.0,220667.0
6.0,1988.0,street no 05,16.0,260073.0
2.0,1751.0,street no 01,35.0,184711.0
,1595.0,street no 02,18.0,178256.0
4.0,2001.0,north nazimabad,34.0,218722.0
3.0,300.0,street no 04,39.0,77525.0
2.0,1839.0,street no 05,27.0,179177.0
1.0,1173.0,street no 09,0.0,127296.0
5.0,585.0,downtown,,126667.0
6.0,1756.0,north nazimabad,39.0,228979.0
4.0,2187.0,street no 01,32.0,250149.0
2.0,1431.0,street no 03,11.0,183617.0
2.0,1976.0,street no 05,7.0,215877.0
3.0,2306.0,street no 03,23.0,283014.0
3.0,2157.0,street no 04,15.0,258107.0
5.0,2320.0,north nazimabad,3.0,277748.0
6.0,1871.0,defence phase 5,37.0,240726.0
5.0,1538.0,street no 03,26.0,236269.0
1.0,699.0,,8.0,92400.0
1.0,1377.0,defence phase 5,15.0,138632.0
5.0,1078.0,north nazimabad,11.0,176108.0
6.0,2585.0,gulberg,30.0,2520687.0813610815
5.0,1412.0,gulberg,23.0,229669.0
6.0,1562.0,north nazimabad,13.0,224777.0
6.0,1776.0,north nazimabad,24.0,239038.0
4.0,1522.0,street no 01,33.0,198802.0
6.0,2348.0,suburb area,2.0,324245.0
3.0,1189.0,street no 08,23.0,187916.0
6.0,1597.0,street no 04,8.0,257580.0
6.0,1129.0,,25.0,186515.0
6.0,840.0,street no 02,19.0,203856.0
1.0,1194.0,street no 02,,140313.0
3.0,1481.0,street no 06,9.0,175209.0
3.0,1285.0,defence phase 5,18.0,158896.0
5.0,1154.0,street no 02,2.0,223348.0
4.0,797.0,north nazimabad,23.0,136141.0
6.0,1458.0,north nazimabad,4.0,223531.0
2.0,748.0,street no 06,2.0,116076.0
4.0,1880.0,downtown,26.0,211832.0
4.0,1541.0,north nazimabad,15.0,192507.0
3.0,771.0,street no 02,14.0,154743.0
4.0,1345.0,street no 04,34.0,181442.0
6.0,1124.0,street no 07,11.0,178246.0
6.0,1660.0,street no 08,25.0,259906.0
1.0,2170.0,north nazimabad,33.0,189114.0
6.0,562.0,street no 03,22.0,166207.0
6.0,1558.0,defence phase 5,30.0,215400.0
3.0,1420.0,north nazimabad,19.0,181044.0
6.0,1836.0,gulberg,11.0,274386.0
1.0,1607.0,,22.0,168149.0
2.0,1124.0,street no 02,3.0,174472.0
3.0,1340.0,street no 08,22.0,179834.0
2.0,,street no 08,0.0,156203.0
3.0,2038.0,gulberg,24.0,247385.0
,1511.0,defence phase 5,1.0,215314.0
4.0,,street no 04,29.0,273314.0
5.0,1470.0,street no 01,2.0,226409.0
6.0,1146.0,gulberg,20.0,213482.0
2.0,743.0,street no 01,24.0,105226.0
6.0,598.0,street no 02,19.0,174200.0
4.0,708.0,defence phase 5,,132061.0
3.0,1634.0,north nazimabad,20.0,198650.0
4.0,1754.0,suburb area,32.0,223228.0
1.0,709.0,defence phase 5,37.0,77615.0
4.0,1948.0,street no 09,14.0,254737.0
1.0,1258.0,gulberg,14.0,153566.0
4.0,1573.0,street no 02,24.0,217820.0
1.0,2306.0,street no 02,20.0,245876.0
2.0,1948.0,street no 06,23.0,203593.0
6.0,1366.0,street no 07,4.0,221728.0
6.0,1054.0,gulberg,5.0,223045.0
5.0,424.0,street no 07,22.0,116027.0
6.0,1140.0,north nazimabad,3.0,194781.0
3.0,1394.0,gulberg,26.0,198740.0
4.0,1006.0,street no 09,17.0,177504.0
5.0,1434.0,street no 06,20.0,191855.0
3.0,1538.0,defence phase 5,27.0,180949.0
3.0,1388.0,street no 08,34.0,193910.0
1.0,1175.0,downtown,21.0,121380.0
6.0,1584.0,street no 06,39.0,217860.0
2.0,1721.0,street no 02,22.0,202848.0
2.0,955.0,street no 01,2.0,131365.0
5.0,2205.0,street no 05,39.0,245083.0
2.0,1451.0,defence phase 5,9.0,164665.0
4.0,,street no 09,24.0,205790.0
2.0,1854.0,street no 08,7.0,241627.0
5.0,1617.0,defence phase 5,10.0,230011.0
2.0,1977.0,gulberg,4.0,242214.0
4.0,1644.0,street no 04,36.0,216237.0
1.0,1194.0,street no 05,37.0,110322.0
5.0,1681.0,gulberg,28.0,241575.0
1.0,928.0,street no 05,4.0,107010.0
1.0,1554.0,street no 06,8.0,158066.0
1.0,1483.0,street no 03,1.0,180533.0
3.0,1396.0,street no 05,0.0,177926.0
6.0,1436.0,street no 02,39.0,236084.0
3.0,559.0,street no 10,29.0,113790.0
6.0,1226.0,street no 01,10.0,201920.0
1.0,1546.0,downtown,27.0,151270.0
5.0,1580.0,street no 01,11.0,243526.0
6.0,986.0,street no 10,38.0,202798.0
4.0,2133.0,street no 07,25.0,225391.0
4.0,1067.0,street no 02,12.0,198685.0
2.0,1985.0,street no 04,7.0,232437.0
6.0,1714.0,street no 05,27.0,231633.0
5.0,1177.0,street no 07,29.0,175895.0
3.0,2388.0,street no 02,8.0,281418.0
1.0,903.0,defence phase 5,38.0,103965.0
2.0,1960.0,street no 06,30.0,195963.0
4.0,2000.0,street no 01,20.0,232644.0
3.0,1165.0,,33.0,144382.0
3.0,2196.0,street no 09,30.0,253195.0
1.0,1375.0,street no 05,24.0,135826.0
6.0,1644.0,street no 05,11.0,241096.0
4.0,1630.0,street no 04,0.0,228788.0
5.0,1433.0,street no 03,21.0,214346.0
3.0,1905.0,street no 09,39.0,215731.0
1.0,1897.0,street no 05,36.0,174185.0
5.0,626.0,street no 08,0.0,173703.0
6.0,2152.0,street no 09,0.0,307611.0
4.0,669.0,street no 05,20.0,121623.0
6.0,2016.0,street no 10,14.0,284990.0
3.0,2063.0,street no 09,16.0,247734.0
5.0,955.0,street no 02,21.0,195703.0
5.0,1295.0,street no 09,37.0,195851.0
5.0,947.0,downtown,34.0,157854.0
3.0,1393.0,street no 04,15.0,182376.0
3.0,1346.0,street no 06,7.0,164604.0
6.0,1890.0,street no 06,,231804.0
2.0,2155.0,street no 06,16.0,211208.0
6.0,2198.0,street no 02,25.0,316838.0
4.0,1219.0,street no 07,12.0,152265.0
1.0,1395.0,gulberg,16.0,159282.0
5.0,658.0,street no 06,37.0,133892.0
2.0,1097.0,downtown,16.0,107624.0
1.0,1982.0,defence phase 5,13.0,186468.0
,2308.0,street no 01,5.0,251249.0
6.0,883.0,street no 02,34.0,213013.0
3.0,1204.0,street no 07,13.0,154465.0
5.0,1487.0,street no 01,7.0,213030.0
6.0,1640.0,north nazimabad,14.0,228792.0
1.0,1095.0,street no 01,26.0,120741.0
1.0,1712.0,street no 01,12.0,178189.0
1.0,1263.0,street no 08,30.0,165550.0
1.0,1493.0,street no 04,34.0,164153.0
,1773.0,street no 04,5.0,193959.0
2.0,1503.0,,4.0,193856.0
6.0,1282.0,street no 02,21.0,259206.0
5.0,1445.0,downtown,22.0,200436.0
3.0,1456.0,downtown,24.0,159953.0
3.0,1315.0,downtown,33.0,147726.0
6.0,1371.0,street no 01,25.0,210142.0
6.0,2299.0,suburb area,4.0,306480.0
3.0,1780.0,street no 10,25.0,220724.0
3.0,1352.0,street no 09,19.0,196964.0
2.0,1848.0,street no 07,5.0,179619.0
4.0,1333.0,street no 04,5.0,203528.0
5.0,2087.0,suburb area,17.0,281601.0
1.0,1685.0,street no 06,3.0,173712.0
4.0,1446.0,defence phase 5,16.0,189795.0
6.0,1724.0,street no 02,13.0,263568.0
3.0,715.0,street no 07,13.0,105175.0
4.0,937.0,street no 02,12.0,175346.0
5.0,903.0,street no 10,,198317.0
6.0,1571.0,street no 08,14.0,268673.0
1.0,2366.0,street no 08,18.0,242436.0
1.0,2616.0,street no 01,34.0,247084.0
5.0,1819.0,gulberg,16.0,259432.0
5.0,1750.0,street no 08,34.0,245034.0
3.0,599.0,street no 02,18.0,137406.0
1.0,1229.0,street no 06,19.0,127338.0
6.0,1106.0,gulberg,35.0,204834.0
4.0,1190.0,street no 01,34.0,168357.0
6.0,1416.0,street no 05,31.0,215319.0
2.0,1264.0,downtown,39.0,128480.0
2.0,510.0,street no 07,23.0,76966.0
5.0,1874.0,gulberg,16.0,269171.0
3.0,964.0,street no 10,6.0,167777.0
2.0,1620.0,street no 01,0.0,189081.0
1.0,2537.0,north nazimabad,34.0,219440.0
6.0,1040.0,street no 02,31.0,212242.0
6.0,300.0,street no 07,35.0,101072.0
5.0,1357.0,street no 06,12.0,197117.0
4.0,2050.0,street no 03,5.0,246007.0
5.0,2479.0,defence phase 5,13.0,276907.0
4.0,,street no 10,36.0,141513.0
5.0,1748.0,street no 02,14.0,269247.0
5.0,1267.0,street no 10,3.0,218295.0
5.0,1447.0,street no 04,39.0,200110.0
4.0,2822.0,street no 03,15.0,326468.0
,749.0,street no 07,27.0,131653.0
5.0,1627.0,street no 08,15.0,251375.0
2.0,1734.0,street no 02,3.0,218739.0
3.0,2043.0,street no 10,25.0,241123.0
3.0,1549.0,street no 07,27.0,179955.0
3.0,1654.0,street no 08,,207713.0
4.0,1304.0,street no 06,1.0,185299.0
4.0,1635.0,street no 06,30.0,194982.0
2.0,1328.0,street no 10,2.0,165656.0
3.0,1811.0,street no 01,7.0,223694.0
3.0,1315.0,street no 04,23.0,194105.0
5.0,1689.0,defence phase 5,14.0,219623.0
4.0,1485.0,street no 01,30.0,201483.0
3.0,2063.0,street no 04,8.0,238250.0
6.0,1474.0,street no 02,38.0,243011.0
2.0,613.0,downtown,1.0,106427.0
6.0,2131.0,gulberg,7.0,301114.0
6.0,1047.0,street no 05,6.0,191883.0
2.0,1173.0,street no 10,38.0,133751.0
6.0,1202.0,defence phase 5,15.0,196840.0
3.0,2187.0,street no 09,34.0,226754.0
4.0,432.0,downtown,29.0,99317.0
2.0,3069.0,north nazimabad,9.0,299946.0
5.0,2028.0,suburb area,37.0,270763.0
6.0,1612.0,street no 10,17.0,256070.0
2.0,1473.0,street no 03,4.0,187514.0
1.0,1643.0,street no 08,28.0,188011.0
1.0,1761.0,street no 03,38.0,182195.0
4.0,1823.0,street no 06,33.0,194694.0
3.0,1778.0,street no 04,22.0,222706.0
4.0,1545.0,street no 08,4.0,228131.0
4.0,1401.0,downtown,29.0,163240.0
4.0,1424.0,street no 06,5.0,189148.0
4.0,1403.0,street no 08,3.0,205170.0
5.0,2067.0,street no 01,28.0,246342.0
5.0,1797.0,street no 06,22.0,230143.0
2.0,300.0,street no 01,5.0,83295.0
1.0,1828.0,street no 01,31.0,178173.0
4.0,1597.0,street no 08,17.0,228933.0
2.0,1491.0,north nazimabad,14.0,159010.0
1.0,1306.0,street no 07,39.0,116868.0
6.0,2062.0,street no 03,31.0,280242.0
3.0,1974.0,street no 06,8.0,207154.0
5.0,1114.0,north nazimabad,36.0,162214.0
6.0,1704.0,street no 09,9.0,267981.0
1.0,1014.0,street no 07,19.0,116650.0
6.0,810.0,suburb area,5.0,211307.0
3.0,1187.0,street no 03,2.0,195589.0
,1931.0,defence phase 5,10.0,188657.0
6.0,1977.0,defence phase 5,16.0,277593.0
5.0,1757.0,gulberg,31.0,1422048.3961037227
5.0,1863.0,street no 06,3.0,229912.0
2.0,1758.0,downtown,3.0,186735.0
6.0,1179.0,street no 04,16.0,215958.0
4.0,1716.0,defence phase 5,18.0,208381.0
6.0,1900.0,gulberg,4.0,292233.0
1.0,1877.0,street no 03,31.0,194269.0
1.0,2094.0,street no 09,21.0,205181.0
6.0,,street no 10,,278930.0
3.0,1676.0,street no 02,34.0,224745.0
5.0,2035.0,street no 01,21.0,258742.0
1.0,1487.0,north nazimabad,0.0,161249.0
,1059.0,defence phase 5,19.0,171497.0
1.0,1418.0,street no 02,21.0,174585.0
2.0,1128.0,street no 07,10.0,122890.0
4.0,1162.0,street no 10,12.0,186285.0
1.0,1428.0,street no 01,2.0,157400.0
5.0,1104.0,street no 06,8.0,170349.0
2.0,1346.0,defence phase 5,11.0,149032.0
1.0,553.0,street no 07,22.0,68068.0
3.0,1607.0,street no 09,13.0,207143.0
4.0,1501.0,north nazimabad,32.0,192804.0
1.0,1091.0,defence phase 5,17.0,112469.0
2.0,1830.0,street no 08,8.0,222508.0
3.0,1969.0,street no 06,22.0,207385.0
6.0,696.0,street no 03,9.0,191109.0
2.0,1119.0,street no 08,18.0,169693.0
2.0,1115.0,street no 07,4.0,138390.0
3.0,1030.0,street no 03,22.0,169169.0
,1915.0,street no 09,29.0,208005.0
